

line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
1, T000001 ,P0004,0,4,"₹9,106.76"
2,T000002,P0011,0,1,"INR 3,753.01"
3,T000002,P0011,NULL,03,"11,259.03"
4,T000002,P0012,NA,2,INR 221.38
5,T000002,P0002,NULL,2,1048.42
6,T000002,P0016,NA,04,5393.00 INR
7,T000003, P0003 ,NULL,2,INR 727.62
8,T000004,P0004,0,2,4553.38 INR
9,T000004,P0021,NA,3,"₹1,083.24"
10,T000005,P0011,0,4,"INR 15,012.04"
11,T000005,P0005,0,1,"₹1,377.59"
12,T000005, P0021 ,,1,INR 361.08
13,T000005, P0009 ,pr002,3.0,786.96 INR
14,T000006, P0008 ,NULL,4,3396.64 INR
15, T000006 ,P0013,NULL,3.0,"10,120.80"
16,T000006, P0030 ,0,3,"₹6,318.09"
17,T000006,P0012,NULL,1,110.69
18,T000006,p0019,NA,1,"2,226.12"
19,T000007,P0023,,2,INR 827.18
20,T000008,P0024,0,2.0,2749.48
21,T000008,P9999,NA,3.0,786.96
22,T000008,P0027,0,2,"₹2,672.12"
23,T000008,P0030,0,3,6318.09 INR
24,T000009, P0011 ,,03,"INR 11,259.03"
25,T000010, P0024 ,NA,3,4124.22 INR
26, T000010 , P0026 ,NULL,3,"₹1,166.55"
27,T000010,P0020,NULL,02,1008.90
28,T000010,P0004,NA,1,"₹2,276.69"
29,T000010,p0028,,4,5490.92 INR
30,T000011,P0012,NA,2,INR 221.38
31,T000011,P0013,0,4,"₹13,494.40"
32,T000012,P0025,NA,4,1205.64 INR
33,T000012,P0002,,2,1048.42 INR
34,T000012,P0001,NULL,3,5110.65
35,T000012,P0024,,3,"INR 4,124.22"
36,T000013,P0007,0,2,"1,805.30"
37,T000013,P0002,0,2,1048.42 INR
38,T000013, P0002 ,,1,524.21
39,T000013,P0024,,2,2749.48
40,T000014,p0003,NA,3,"1,091.43"
41,T000014,P0002,NULL,2,"1,048.42"
42,T000015,P0026,0,04,"INR 1,555.40"
43,T000016,P0030,NULL,2,"INR 4,212.06"
44,T000016,P0020,NULL,2,1008.90 INR
45,T000016, P0004 ,NULL,3,"INR 6,830.07"
46,T000016,P0002,NULL,4,2096.84 INR
47,T000017,P0003,NULL,1,INR 363.81
48,T000017,P0026,NULL,02,₹777.70
49,T000017,P0001,NA,4,"₹6,814.20"
50,T000017,P0018,0,4,INR 906.48
51,T000017,P0022,NA,3,"1,289.94"
52,T000018,P0006,NA,1,2032.52 INR
53,T000018, P0012 ,NULL,3,332.07
54,T000019,P0007,NA,4.0,"₹3,610.60"
55,T000020, P0028 ,PR002,4,"5,490.92"
56,T000020, P0023 ,NA,4,1654.36 INR
57,T000020,P0027,PR001,03,"₹4,008.18"
58,T000020,P0024,NA,2,2749.48 INR
59,T000021,P0005,,02,"₹2,755.18"
60,T000022,p0027,NA,1,1336.06
61,T000022,p0016,NULL,3,4044.75
62,T000022,P0020,pr001,04,2017.80 INR
63,T000022,P0024,,4,5498.96 INR
64,T000022,P0015,,1,"INR 1,105.27"
65,T000023,P0001,,2,"₹3,407.10"
66,T000023,P0002,NA,4,"₹2,096.84"
67,T000023, P0030 ,NULL,3,6318.09
68,T000023,P0011,PR001,1,"3,753.01"
